question_id,dataset_source,task_complexity,complexity_score,acc_per_1k_tokens_adaptive,acc_per_1k_tokens_single-agent,acc_per_1k_tokens_static_multi-agent,is_correct_adaptive,is_correct_single-agent,is_correct_static_multi-agent,routing_decision_adaptive,routing_decision_single-agent,routing_decision_static_multi-agent,token_cost_adaptive,token_cost_single-agent,token_cost_static_multi-agent
DDXPLUS_700279,DDXPlus,Complex,0.4307,0.4608,1.6447,0.2486,1,1,1,group-2,solo,group-3,2170,608,4022
DDXPLUS_701793,DDXPlus,Complex,0.4789,0.0,1.8315,0.255,0,1,1,group-2,solo,group-3,2102,546,3921
DDXPLUS_702269,DDXPlus,Complex,0.3806,1.5699,1.5699,0.2633,1,1,1,solo,solo,group-3,637,637,3798
DDXPLUS_703700,DDXPlus,Moderate,0.3419,0.0,0.0,0.2575,0,0,1,solo,solo,group-3,404,404,3883
DDXPLUS_704041,DDXPlus,Complex,0.4919,0.4505,1.8248,0.2451,1,1,1,group-2,solo,group-3,2220,548,4080
DDXPLUS_704423,DDXPlus,Moderate,0.1564,0.0,0.0,0.3099,0,0,1,solo,solo,group-3,381,381,3227
DDXPLUS_70451,DDXPlus,Moderate,0.1483,0.0,0.0,0.3082,0,0,1,solo,solo,group-3,213,213,3245
DDXPLUS_704983,DDXPlus,Complex,0.788,0.1936,0.9643,0.1936,1,1,1,group-3,solo,group-3,5166,1037,5166
DDXPLUS_707466,DDXPlus,Complex,0.786,0.2055,1.1086,0.2055,1,1,1,group-3,solo,group-3,4866,902,4866
DDXPLUS_70833,DDXPlus,Complex,0.4409,0.0,1.5456,0.2492,0,1,1,group-2,solo,group-3,2174,647,4013
DDXPLUS_708523,DDXPlus,Complex,0.4172,0.4921,1.7301,0.2621,1,1,1,group-2,solo,group-3,2032,578,3816
DDXPLUS_708950,DDXPlus,Complex,0.5474,0.4146,1.2469,0.2281,1,1,1,group-2,solo,group-3,2412,802,4385
DDXPLUS_709767,DDXPlus,Moderate,0.3014,3.5971,3.5971,0.2869,1,1,1,solo,solo,group-3,278,278,3485
DDXPLUS_710455,DDXPlus,Moderate,0.1021,0.0,0.0,0.0,0,0,0,solo,solo,group-3,161,161,3234
DDXPLUS_710776,DDXPlus,Complex,0.3887,1.7036,1.7036,0.2442,1,1,1,solo,solo,group-3,587,587,4095
DDXPLUS_712630,DDXPlus,Complex,0.3644,2.5189,2.5189,0.248,1,1,1,solo,solo,group-3,397,397,4032
DDXPLUS_712664,DDXPlus,Complex,0.4401,0.0,0.0,0.0,0,0,0,group-2,solo,group-3,2290,458,4201
DDXPLUS_713081,DDXPlus,Moderate,0.1389,4.4248,4.4248,0.0,1,1,0,solo,solo,group-3,226,226,3208
DDXPLUS_713619,DDXPlus,Moderate,0.3496,2.0747,2.0747,0.2778,1,1,1,solo,solo,group-3,482,482,3600
DDXPLUS_715877,DDXPlus,Moderate,0.3423,2.8653,2.8653,0.2813,1,1,1,solo,solo,group-3,349,349,3555
DDXPLUS_716682,DDXPlus,Complex,0.602,0.2149,0.0,0.2149,1,0,1,group-3,solo,group-3,4653,631,4653
DDXPLUS_718207,DDXPlus,Complex,0.4635,0.0,0.0,0.0,0,0,0,group-2,solo,group-3,2114,500,3917
DDXPLUS_718925,DDXPlus,Moderate,0.3345,2.3585,2.3585,0.2795,1,1,1,solo,solo,group-3,424,424,3578
